      Gx      Gy      Gz     Rot. sign
     746    9963   31206         N/A
    2251   14140   29472          -1
    4163   16937   27739          -1
    6348   18896   26005          -1
    8718   20212   24271          -1
   11201   20981   22538          -1
   13734   21265   20804          -1
   16264   21105   19070          -1
   18741   20538   17337          -1
   21121   19598   15603          -1
   23363   18315   13869          -1
   25429   16725   12135          -1
   27288   14860   10402          -1
   28910   12756    8668          -1
   30271   10451    6934          -1
   31351    7982    5201          -1
   32133    5391    3467          -1
   32608    2716    1733          -1
   32767       0       0          -1
   32608   -2716   -1733          -1
   32133   -5391   -3467          -1
   31351   -7982   -5201          -1
   30271  -10451   -6934          -1
   28910  -12756   -8668          -1
   27288  -14860  -10402          -1
   25429  -16725  -12135          -1
   23363  -18315  -13869          -1
   21121  -19598  -15603          -1
   18741  -20538  -17337          -1
   16264  -21105  -19070          -1
   13734  -21265  -20804          -1
   11201  -20981  -22538          -1
    8718  -20212  -24271          -1
    6348  -18896  -26005          -1
    4163  -16937  -27739          -1
    2251  -14140  -29472          -1
     746   -9963  -31206          -1
   -2410    2587  -32575          -1
   -8189    7441  -30841           1
  -11937    9159  -29108           1
  -15148    9738  -27374           1
  -18017    9569  -25640           1
  -20594    8831  -23907           1
  -22884    7635  -22173           1
  -24883    6060  -20439           1
  -26576    4174  -18706           1
  -27954    2035  -16972           1
  -29006    -302  -15238           1
  -29724   -2788  -13504           1
  -30103   -5373  -11771           1
  -30145   -8011  -10037           1
  -29852  -10656   -8303           1
  -29232  -13264   -6570           1
  -28298  -15795   -4836           1
  -27065  -18208   -3102           1
  -25552  -20466   -1368           1
  -23784  -22535     364           1
  -21788  -24383    2098           1
  -19594  -25981    3832           1
  -17235  -27306    5565           1
  -14748  -28334    7299           1
  -12173  -29049    9033           1
   -9549  -29437   10766           1
   -6922  -29487   12500           1
   -4336  -29193   14234           1
   -1840  -28553   15968           1
     516  -27569   17701           1
    2682  -26243   19435           1
    4599  -24584   21169           1
    6206  -22596   22902           1
    7431  -20285   24636           1
    8183  -17643   26370           1
    8333  -14642   28103           1
    7652  -11172   29837           1
    5539   -6799   31571           1
   -5576     627   32282          -1
  -11624    2298   30549          -1
  -14999    4286   28815          -1
  -17254    6523   27081          -1
  -18745    8929   25348          -1
  -19626   11438   23614          -1
  -19980   13988   21880          -1
  -19865   16526   20146          -1
  -19325   19003   18413          -1
  -18398   21376   16679          -1
  -17121   23603   14945          -1
  -15530   25649   13212          -1
  -13662   27482   11478          -1
  -11552   29073    9744          -1
   -9241   30398    8011          -1
   -6767   31440    6277          -1
   -4171   32181    4543          -1
   -1494   32612    2809          -1
    1221   32726    1076          -1
    3935   32523    -657          -1
    6605   32005   -2391          -1
    9190   31179   -4124          -1
   11651   30060   -5858          -1
   13947   28662   -7592          -1
   16041   27006   -9326          -1
   17898   25119  -11059          -1
   19484   23029  -12793          -1
   20766   20769  -14527          -1
   21714   18377  -16260          -1
   22298   15894  -17994          -1
   22491   13364  -19728          -1
   22262   10837  -21461          -1
   21578    8367  -23195          -1
   20396    6015  -24929          -1
   18652    3852  -26663          -1
   16230    1966  -28396          -1
   12868     482  -30130          -1
    7630    -348  -31864          -1
   -5918   -4946  -31846          -1
   -9191   -9079  -30112           1
  -10657  -12439  -28378           1
  -11163  -15462  -26645           1
  -10983  -18233  -24911           1
  -10263  -20763  -23177           1
   -9096  -23045  -21443           1
   -7556  -25061  -19710           1
   -5703  -26795  -17976           1
   -3593  -28229  -16242           1
   -1278  -29351  -14509           1
    1194  -30150  -12775           1
    3776  -30618  -11041           1
    6420  -30754   -9308           1
    9083  -30558   -7574           1
   11720  -30036   -5840           1
   14290  -29199   -4106           1
   16753  -28059   -2373           1
   19071  -26637    -639           1
   21209  -24952    1094           1
   23133  -23032    2827           1
   24815  -20905    4561           1
   26227  -18605    6295           1
   27347  -16165    8029           1
   28154  -13626    9762           1
   28633  -11028   11496           1
   28771   -8415   13230           1
   28561   -5832   14963           1
   27996   -3327   16697           1
   27075    -953   18431           1
   25797    1236   20164           1
   24165    3184   21898           1
   22179    4823   23632           1
   19832    6075   25366           1
   17103    6838   27099           1
   13924    6958   28833           1
   10083    6135   30567           1
    4451    3243   32300           1
   -1975   -8343   31625          -1
   -4167  -12759   29891          -1
   -6506  -15442   28157          -1
   -8979  -17169   26424          -1
